Pvm (dd.mm.YYYY);Mustikkamaa;Kauppatori;Hakaniemi
01.01.2016;443;0;0
02.01.2016;363;0;0
03.01.2016;327;0;0
04.01.2016;170;0;0
05.01.2016;118;0;0
06.01.2016;88;0;0
07.01.2016;48;0;0
08.01.2016;48;0;0
09.01.2016;106;0;0
10.01.2016;162;0;0
11.01.2016;25;0;0
12.01.2016;12;0;0
13.01.2016;46;0;0
14.01.2016;43;0;0
15.01.2016;30;0;0
16.01.2016;84;0;0
17.01.2016;129;0;0
18.01.2016;29;0;0
19.01.2016;35;0;0
20.01.2016;27;0;0
21.01.2016;25;0;0
22.01.2016;20;0;0
23.01.2016;226;0;0
24.01.2016;146;0;0
25.01.2016;45;0;0
26.01.2016;30;0;0
27.01.2016;32;0;0
28.01.2016;31;0;0
29.01.2016;56;0;0
30.01.2016;289;0;0
31.01.2016;320;0;0
01.02.2016;82;0;0
02.02.2016;41;0;0
03.02.2016;132;0;0
04.02.2016;113;0;0
05.02.2016;59;0;0
06.02.2016;362;0;0
07.02.2016;205;0;0
08.02.2016;52;0;0
09.02.2016;67;0;0
10.02.2016;22;0;0
11.02.2016;54;0;0
12.02.2016;71;0;0
13.02.2016;447;0;0
14.02.2016;349;0;0
15.02.2016;106;0;0
16.02.2016;205;0;0
17.02.2016;98;0;0
18.02.2016;143;0;0
19.02.2016;258;0;0
20.02.2016;223;0;0
21.02.2016;172;0;0
22.02.2016;377;0;0
23.02.2016;582;0;0
24.02.2016;631;0;0
25.02.2016;774;0;0
26.02.2016;601;0;0
27.02.2016;910;0;0
28.02.2016;1055;0;0
29.02.2016;229;0;0
01.03.2016;377;0;0
02.03.2016;313;0;0
03.03.2016;233;0;0
04.03.2016;210;0;0
05.03.2016;536;0;0
06.03.2016;546;0;0
07.03.2016;366;0;0
08.03.2016;220;0;0
09.03.2016;234;0;0
10.03.2016;295;0;0
11.03.2016;329;0;0
12.03.2016;1179;0;0
13.03.2016;910;0;0
14.03.2016;172;0;0
15.03.2016;246;0;0
16.03.2016;408;0;0
17.03.2016;215;0;0
18.03.2016;281;0;0
19.03.2016;489;0;0
20.03.2016;422;0;0
21.03.2016;108;0;0
22.03.2016;167;0;0
23.03.2016;146;0;0
24.03.2016;198;0;0
25.03.2016;1522;0;0
26.03.2016;1303;0;0
27.03.2016;2597;0;0
28.03.2016;3419;0;0
29.03.2016;289;0;0
30.03.2016;166;0;0
31.03.2016;212;0;0
01.04.2016;226;0;0
02.04.2016;1651;0;0
03.04.2016;270;0;0
04.04.2016;255;0;0
05.04.2016;244;0;0
06.04.2016;372;0;0
07.04.2016;216;0;0
08.04.2016;330;0;0
09.04.2016;906;0;0
10.04.2016;1702;0;0
11.04.2016;302;0;0
12.04.2016;341;0;0
13.04.2016;423;0;0
14.04.2016;365;0;0
15.04.2016;498;0;0
16.04.2016;1879;0;0
17.04.2016;238;0;0
18.04.2016;221;0;0
19.04.2016;257;0;0
20.04.2016;252;0;0
21.04.2016;407;0;0
22.04.2016;352;0;0
23.04.2016;984;0;0
24.04.2016;807;0;0
25.04.2016;176;0;0
26.04.2016;383;0;0
27.04.2016;380;0;0
28.04.2016;389;0;0
29.04.2016;467;0;0
30.04.2016;1136;0;0
01.05.2016;2065;281;0
02.05.2016;638;204;0
03.05.2016;634;117;0
04.05.2016;627;165;0
05.05.2016;3809;582;0
06.05.2016;2369;509;0
07.05.2016;2747;592;0
08.05.2016;2651;429;0
09.05.2016;538;124;0
10.05.2016;825;375;0
