Aikaleima (YYYY.mm.dd HH:MM);Aikavyöhyke;Sademäärä (mm)
2016.01.01 00:00;UTC+2;0
2016.01.01 01:00;UTC+2;0
2016.01.01 02:00;UTC+2;0
2016.01.01 03:00;UTC+2;0
2016.01.01 04:00;UTC+2;0
2016.01.01 05:00;UTC+2;0
2016.01.01 06:00;UTC+2;0
2016.01.01 07:00;UTC+2;0
2016.01.01 08:00;UTC+2;0
2016.01.01 09:00;UTC+2;0
2016.01.01 10:00;UTC+2;0
2016.01.01 11:00;UTC+2;0
2016.01.01 12:00;UTC+2;0
2016.01.01 13:00;UTC+2;0
2016.01.01 14:00;UTC+2;0
2016.01.01 15:00;UTC+2;0
2016.01.01 16:00;UTC+2;0
2016.01.01 17:00;UTC+2;0
2016.01.01 18:00;UTC+2;0
2016.01.01 19:00;UTC+2;0
2016.01.01 20:00;UTC+2;0
2016.01.01 21:00;UTC+2;0
2016.01.01 22:00;UTC+2;0
2016.01.01 23:00;UTC+2;0
2016.01.02 00:00;UTC+2;0
2016.01.02 01:00;UTC+2;0
2016.01.02 02:00;UTC+2;0
2016.01.02 03:00;UTC+2;0
2016.01.02 04:00;UTC+2;0
2016.01.02 05:00;UTC+2;0
2016.01.02 06:00;UTC+2;0
2016.01.02 07:00;UTC+2;0
2016.01.02 08:00;UTC+2;0
2016.01.02 09:00;UTC+2;0
2016.01.02 10:00;UTC+2;0
2016.01.02 11:00;UTC+2;0
2016.01.02 12:00;UTC+2;0
2016.01.02 13:00;UTC+2;0
2016.01.02 14:00;UTC+2;0
2016.01.02 15:00;UTC+2;0
2016.01.02 16:00;UTC+2;0
2016.01.02 17:00;UTC+2;0
2016.01.02 18:00;UTC+2;0
2016.01.02 19:00;UTC+2;0
2016.01.02 20:00;UTC+2;0
2016.01.02 21:00;UTC+2;0
2016.01.02 22:00;UTC+2;0
2016.01.02 23:00;UTC+2;0
2016.01.03 00:00;UTC+2;0
2016.01.03 01:00;UTC+2;0
2016.01.03 02:00;UTC+2;0
2016.01.03 03:00;UTC+2;0
2016.01.03 04:00;UTC+2;0
2016.01.03 05:00;UTC+2;0
2016.01.03 06:00;UTC+2;0
2016.01.03 07:00;UTC+2;0
2016.01.03 08:00;UTC+2;0
2016.01.03 09:00;UTC+2;0
2016.01.03 10:00;UTC+2;0.5
2016.01.03 11:00;UTC+2;0.7
2016.01.03 12:00;UTC+2;0.5
2016.01.03 13:00;UTC+2;0.2
2016.01.03 14:00;UTC+2;0
2016.01.03 15:00;UTC+2;0
2016.01.03 16:00;UTC+2;0
2016.01.03 17:00;UTC+2;0
2016.01.03 18:00;UTC+2;0
2016.01.03 19:00;UTC+2;0
2016.01.03 20:00;UTC+2;0
2016.01.03 21:00;UTC+2;0
2016.01.03 22:00;UTC+2;0
2016.01.03 23:00;UTC+2;0
2016.05.02 00:00;UTC+3;0
2016.05.02 01:00;UTC+3;0
2016.05.02 02:00;UTC+3;0
2016.05.02 03:00;UTC+3;0
2016.05.02 04:00;UTC+3;0
2016.05.02 05:00;UTC+3;0
2016.05.02 06:00;UTC+3;0
2016.05.02 07:00;UTC+3;0
2016.05.02 08:00;UTC+3;0
2016.05.02 09:00;UTC+3;0
2016.05.02 10:00;UTC+3;0
2016.05.02 11:00;UTC+3;0
2016.05.02 12:00;UTC+3;0
2016.05.02 13:00;UTC+3;0
2016.05.02 14:00;UTC+3;0
2016.05.02 15:00;UTC+3;0
2016.05.02 16:00;UTC+3;0
2016.05.02 17:00;UTC+3;0
2016.05.02 18:00;UTC+3;0
2016.05.02 19:00;UTC+3;0
2016.05.02 20:00;UTC+3;0
2016.05.02 21:00;UTC+3;0
2016.05.02 22:00;UTC+3;0
2016.05.02 23:00;UTC+3;0
2016.05.03 00:00;UTC+3;0
2016.05.03 01:00;UTC+3;0
2016.05.03 02:00;UTC+3;0
2016.05.03 03:00;UTC+3;0
2016.05.03 04:00;UTC+3;0
2016.05.03 05:00;UTC+3;0
2016.05.03 06:00;UTC+3;0
2016.05.03 07:00;UTC+3;0
2016.05.03 08:00;UTC+3;0
2016.05.03 09:00;UTC+3;0
2016.05.03 10:00;UTC+3;0
2016.05.03 11:00;UTC+3;0
2016.05.03 12:00;UTC+3;0
2016.05.03 13:00;UTC+3;0
2016.05.03 14:00;UTC+3;0
2016.05.03 15:00;UTC+3;0
2016.05.03 16:00;UTC+3;0
2016.05.03 17:00;UTC+3;0
2016.05.03 18:00;UTC+3;0
2016.05.03 19:00;UTC+3;0
2016.05.03 20:00;UTC+3;0
2016.05.03 21:00;UTC+3;0
2016.05.03 22:00;UTC+3;0
2016.05.03 23:00;UTC+3;0
2016.05.04 00:00;UTC+3;0
2016.05.04 01:00;UTC+3;0
2016.05.04 02:00;UTC+3;0
2016.05.04 03:00;UTC+3;0
2016.05.04 04:00;UTC+3;0
2016.05.04 05:00;UTC+3;0
2016.05.04 06:00;UTC+3;0
2016.05.04 07:00;UTC+3;0
2016.05.04 08:00;UTC+3;0
2016.05.04 09:00;UTC+3;0
2016.05.04 10:00;UTC+3;0
2016.05.04 11:00;UTC+3;0
2016.05.04 12:00;UTC+3;0
2016.05.04 13:00;UTC+3;0
2016.05.04 14:00;UTC+3;0
2016.05.04 15:00;UTC+3;0
2016.05.04 16:00;UTC+3;0
2016.05.04 17:00;UTC+3;0
2016.05.04 18:00;UTC+3;0
2016.05.04 19:00;UTC+3;0
2016.05.04 20:00;UTC+3;0
2016.05.04 21:00;UTC+3;0
2016.05.04 22:00;UTC+3;0
2016.05.04 23:00;UTC+3;0
2016.06.01 00:00;UTC+3;0
2016.06.01 01:00;UTC+3;0
2016.06.01 02:00;UTC+3;0
2016.06.01 03:00;UTC+3;0
2016.06.01 04:00;UTC+3;0
2016.06.01 05:00;UTC+3;0
2016.06.01 06:00;UTC+3;0
2016.06.01 07:00;UTC+3;0
2016.06.01 08:00;UTC+3;0
2016.06.01 09:00;UTC+3;0
2016.06.01 10:00;UTC+3;0
2016.06.01 11:00;UTC+3;0
2016.06.01 12:00;UTC+3;0
2016.06.01 13:00;UTC+3;0
2016.06.01 14:00;UTC+3;0
2016.06.01 15:00;UTC+3;0
2016.06.01 16:00;UTC+3;0
2016.06.01 17:00;UTC+3;0
2016.06.01 18:00;UTC+3;0
2016.06.01 19:00;UTC+3;0
2016.06.01 20:00;UTC+3;0
2016.06.01 21:00;UTC+3;0
2016.06.01 22:00;UTC+3;0
2016.06.01 23:00;UTC+3;0
2016.06.02 00:00;UTC+3;0
2016.06.02 01:00;UTC+3;0
2016.06.02 02:00;UTC+3;0
2016.06.02 03:00;UTC+3;0
2016.06.02 04:00;UTC+3;0
2016.06.02 05:00;UTC+3;0
2016.06.02 06:00;UTC+3;0
2016.06.02 07:00;UTC+3;0
2016.06.02 08:00;UTC+3;0
2016.06.02 09:00;UTC+3;0
2016.06.02 10:00;UTC+3;0
2016.06.02 11:00;UTC+3;0
2016.06.02 12:00;UTC+3;0
2016.06.02 13:00;UTC+3;0
2016.06.02 14:00;UTC+3;0
2016.06.02 15:00;UTC+3;3.1
2016.06.02 16:00;UTC+3;5.6
2016.06.02 17:00;UTC+3;4.3
2016.06.02 18:00;UTC+3;0.4
2016.06.02 19:00;UTC+3;0
2016.06.02 20:00;UTC+3;0
2016.06.02 21:00;UTC+3;0
2016.06.02 22:00;UTC+3;0
2016.06.02 23:00;UTC+3;0
2016.07.04 00:00;UTC+3;0
2016.07.04 01:00;UTC+3;0
2016.07.04 02:00;UTC+3;0
2016.07.04 03:00;UTC+3;0.2
2016.07.04 04:00;UTC+3;1.8
2016.07.04 05:00;UTC+3;1.1
2016.07.04 06:00;UTC+3;0.6
2016.07.04 07:00;UTC+3;0.4
2016.07.04 08:00;UTC+3;0.4
2016.07.04 09:00;UTC+3;0.4
2016.07.04 10:00;UTC+3;0.3
2016.07.04 11:00;UTC+3;0.1
